ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
DT-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Audit douanier des opérateurs du commerce international,"Maîtriser les techniques et méthodologies d'audit douanier pour évaluer la conformité des opérateurs (importateurs, exportateurs, transitaires...) aux réglementations douanières et fiscales (valeur, origine, classement...).",2 semaines (env. 70-80h),Solides connaissances en réglementation douanière et/ou expérience en audit (interne/externe) ou en opérations douanières complexes.,"Auditeurs internes/externes spécialisés douane, inspecteurs des douanes (services de contrôle/audit), responsables douane/conformité en entreprise (import/export), consultants en douane, experts-comptables impliqués dans l'audit douanier.",Dans nos locaux / En ligne / Intra-entreprise,"Méthodologie d'audit douanier (planification, exécution, rapport), contrôle des déclarations, vérification de l'origine/valeur/espèce tarifaire, audit des régimes suspensifs et économiques, analyse des risques de non-conformité, techniques d'échantillonnage.","Supports de cours, guides d'audit douanier (OMD...), code des douanes, nomenclature SH, règles d'origine/valeur (OMC), études de cas d'audits douaniers, outils d'analyse de données pour l'audit (présentation), check-lists d'audit.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un programme d'audit douanier pour un opérateur type. Analyse critique d'un rapport d'audit douanier. Identification des points de contrôle clés lors d'un audit sur la valeur ou l'origine.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Procédures douanières et gestion des contrats commerciaux internationaux,"Maîtriser l'articulation entre les procédures douanières (dédouanement, régimes...) et les clauses clés des contrats commerciaux internationaux (Incoterms®, paiement, transport...) pour sécuriser les opérations.",2 semaines (env. 70-80h),Connaissance de base du commerce international et/ou des procédures douanières.,"Responsables/assistants import-export, logisticiens internationaux, acheteurs/vendeurs internationaux, juristes d'affaires internationales, transitaires, déclarants en douane, conseillers en commerce international.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse des Incoterms® et leurs implications douanières/logistiques, documents du commerce international, procédures de dédouanement (import/export), régimes douaniers économiques, lien avec les moyens de paiement (credoc...), gestion des risques contractuels et douaniers.","Supports de cours, Incoterms® (dernière version), code des douanes (principes), modèles de contrats commerciaux internationaux/documents (facture, B/L...), études de cas intégrées (contrat-logistique-douane-paiement).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse des implications douanières et logistiques du choix d'un Incoterm®. Identification des documents nécessaires pour une opération import/export donnée. Gestion d'un cas pratique intégrant contrat et procédure douanière.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-003,"À partir de €6,899","Paris, Sud de la France, Dubaï","Contentieux douanier, contrôle fiscal et réglementation des changes","Maîtriser les procédures de contrôle douanier (visite, contrôle documentaire...), la gestion du contentieux douanier (infractions, transactions, recours) et la réglementation des changes applicable aux opérations internationales.",2 semaines (env. 70-80h),"Formation juridique ou expérience confirmée en droit douanier, contentieux ou réglementation financière/des changes.","Avocats spécialisés droit douanier/fiscal, juristes d'entreprise (import/export), agents des douanes (contentieux, contrôle), responsables douane/finance en entreprise, consultants spécialisés contentieux douanier.",Dans nos locaux / En ligne / Intra-entreprise,"Pouvoirs de contrôle des douanes, typologie des infractions douanières, procédures contentieuses (constatation, poursuite, transaction, jugement), voies de recours, réglementation des changes (déclaration, rapatriement devises...), sanctions.","Supports de cours, code des douanes (partie contentieuse), code des changes (ou équivalent), jurisprudence douanière et des changes, formulaires de procédure contentieuse, études de cas de contentieux douanier/changes.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse d'un cas de contentieux douanier ou de change et proposition d'une stratégie de défense/règlement. Rédaction d'une réponse à une notification d'infraction (simplifiée).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Principes fondamentaux et évolutions de la législation douanière,"Comprendre l'évolution historique, les sources (nationales, internationales - OMD, OMC), les principes fondamentaux (légalité, non-discrimination...) et l'interprétation de la législation et réglementation douanière.",2 semaines (env. 70-80h),Formation juridique ou expérience en droit douanier/commerce international. Intérêt pour l'histoire et les fondements du droit.,"Juristes douaniers (administration, entreprise, cabinet), fonctionnaires des douanes, chercheurs en droit douanier/international, étudiants avancés en droit.",Dans nos locaux / En ligne / Intra-entreprise,"Sources du droit douanier (constitution, lois, règlements, traités), principes d'interprétation, hiérarchie des normes, grands principes (territorialité, contrôle...), évolution historique et défis contemporains (e-commerce, sécurité...).","Supports de cours, textes fondamentaux (codes, conventions OMD/OMC), jurisprudence clé (nationale/internationale), articles de doctrine sur les principes douaniers, analyses historiques et prospectives.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Dissertation ou présentation sur un principe fondamental du droit douanier et son application pratique. Analyse de l'impact d'une convention internationale sur la législation douanière nationale.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Contrôle douanier des transactions en devises et réglementation des opérations de change,"Maîtriser les procédures douanières spécifiques au contrôle des flux financiers liés au commerce international (déclarations de devises, justification des paiements...) et la réglementation des changes associée.",2 semaines (env. 70-80h),Connaissance des procédures douanières de base et/ou de la réglementation des changes. Expérience en finance internationale ou import/export.,"Agents des douanes (contrôle financier, enquêtes), personnel des services financiers/conformité des banques, responsables financiers/douane des entreprises import/export, consultants en réglementation financière/douanière.",Dans nos locaux / En ligne / Intra-entreprise,"Contrôle douanier des mouvements de capitaux/devises, réglementation des changes (domiciliation bancaire, rapatriement des recettes d'exportation...), lutte contre le blanchiment d'argent et le financement du terrorisme (LCB-FT) en lien avec la douane.","Supports de cours, code des douanes (volet financier), code des changes, réglementation LCB-FT, procédures de déclaration de devises, formulaires bancaires liés au commerce extérieur, études de cas de contrôle financier douanier.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de la conformité d'une transaction internationale à la réglementation douanière et des changes. Identification des points de contrôle clés pour prévenir le blanchiment via les opérations commerciales.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Technologie tarifaire douanière : maîtrise de la nomenclature SH,"Maîtriser la structure, les règles d'interprétation et l'application de la nomenclature du Système Harmonisé (SH) pour classer correctement les marchandises et déterminer les droits et taxes applicables.",2 semaines (env. 70-80h),Connaissance de base du commerce international ou des opérations douanières. Rigueur et attention aux détails.,"Déclarants en douane, employés des services douane des entreprises, agents des douanes (service du tarif), consultants en douane, logisticiens internationaux, responsables classification produits.",Dans nos locaux / En ligne / Intra-entreprise,"Présentation détaillée du SH (structure Sections/Chapitres/Positions/Sous-positions), Règles Générales d'Interprétation (RGI 1 à 6), Notes explicatives du SH (NESH), utilisation des outils de classement tarifaire, décisions de classement.","Supports de cours, Nomenclature SH officielle et Notes Explicatives (NESH) (accès/papier), bases de données tarifaires (ex: RITA, TARIC, ESW - présentation), exercices pratiques de classement sur des cas variés et complexes, décisions de classement OMD.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Classement tarifaire argumenté de marchandises diverses en utilisant les RGI et les NESH. Résolution de cas de classement complexes ou litigieux.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Maîtrise de la réglementation douanière et des modes de transport internationaux,"Acquérir une compréhension globale de la réglementation douanière essentielle et de son interaction avec les opérations de transport international (routier, maritime, aérien) pour optimiser les flux.",2 semaines (env. 70-80h),Expérience en transport/logistique internationale ou connaissance de base des opérations douanières.,"Responsables/employés logistique et transport international, transitaires, agents de compagnies de transport (routier, maritime, aérien), déclarants en douane, responsables supply chain.",Dans nos locaux / En ligne / Intra-entreprise,"Principes douaniers clés (dédouanement, régimes...), documents douaniers et de transport, responsabilités transporteur/chargeur, régimes de transit (TIR...), spécificités douanières par mode de transport, gestion des litiges transport/douane.","Supports de cours, code des douanes (principes), conventions de transport international (CMR, Varsovie/Montréal, HVR...), Incoterms®, exemples de documents de transport et douaniers, études de cas d'interaction transport-douane.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse des implications douanières et transport d'une opération logistique donnée. Identification des documents requis pour un transport international multimodal. Gestion d'un cas de litige simple transport/douane.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Transit douanier et procédures dans l’espace OHADA : pratiques et conformité,Maîtriser les procédures douanières et les régimes de transit spécifiques applicables au transport de marchandises au sein et à travers l'espace OHADA (Organisation pour l'Harmonisation en Afrique du Droit des Affaires).,2 semaines (env. 70-80h),Connaissance des procédures douanières de base et/ou du transport international. Expérience en Afrique/espace OHADA est un plus.,"Transitaires/commissionnaires en douane opérant dans l'espace OHADA, transporteurs routiers internationaux (espace OHADA), responsables logistique/douane d'entreprises important/exportant en zone OHADA, agents des douanes OHADA.",Dans nos locaux / En ligne / Intra-entreprise,"Présentation de l'OHADA et de son cadre juridique douanier/transport, régimes de transit communautaire/international (TRIE, TIR...), procédures de dédouanement harmonisées (si applicable), documents spécifiques OHADA, gestion des cautions.","Supports de cours, Actes Uniformes OHADA pertinents (Transport...), codes des douanes des pays membres (points clés), conventions de transit régionales (TRIE...), formulaires de transit spécifiques, études de cas de transit OHADA.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Remplissage et analyse des documents de transit pour une opération intra-OHADA. Gestion d'un cas pratique de transit avec identification des procédures et des points de contrôle clés dans l'espace OHADA.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Techniques de recouvrement et gestion des créances douanières,"Maîtriser les techniques et procédures de recouvrement amiable et forcé des créances douanières (droits et taxes non payés, amendes...) dans le respect du cadre légal.",2 semaines (env. 70-80h),Formation juridique ou expérience en recouvrement de créances (publiques ou privées) ou en contentieux douanier.,"Agents des services de recouvrement des douanes, receveurs des douanes, juristes spécialisés recouvrement/contentieux douanier, avocats fiscalistes/douaniers.",Dans nos locaux / En ligne / Intra-entreprise,"Nature des créances douanières, délais de paiement et de prescription, procédures de recouvrement amiable (relances, mises en demeure), procédures de recouvrement forcé (avis à tiers détenteur, saisies...), garanties et sûretés.","Supports de cours, code des douanes (partie recouvrement), code de recouvrement des créances publiques, procédures civiles d'exécution, jurisprudence en matière de recouvrement douanier, modèles de lettres/actes de recouvrement.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une stratégie de recouvrement pour différents types de créances douanières. Analyse d'un dossier de recouvrement et identification des actions à mener.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Normes SAFE de l’Organisation Mondiale des Douanes : cadre de référence,"Comprendre le Cadre de normes SAFE de l'OMD visant à sécuriser et faciliter le commerce mondial, notamment les piliers Douane-Douane et Douane-Entreprises (programme Opérateur Economique Agréé - OEA).",2 semaines (env. 70-80h),Connaissance des procédures douanières et/ou de la gestion de la chaîne logistique internationale.,"Cadres des administrations douanières, responsables douane/logistique/sûreté en entreprise (import/export), consultants en douane/supply chain, transitaires/commissionnaires en douane, associations professionnelles du commerce international.",Dans nos locaux / En ligne / Intra-entreprise,"Objectifs et principes du Cadre SAFE, Pilier 1 (Douane-Douane : échange d'informations, gestion des risques...), Pilier 2 (Douane-Entreprises : programme OEA - critères, avantages, processus), technologies associées (scanner...).","Supports de cours, Cadre de normes SAFE de l'OMD et Compendium OEA, guides de mise en œuvre SAFE/OEA, exemples de critères de sécurité OEA, études de cas sur la mise en œuvre de SAFE/OEA dans différents pays/entreprises.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse des bénéfices et des exigences du statut OEA pour une entreprise. Proposition d'actions pour une administration douanière afin de renforcer la mise en œuvre du Cadre SAFE.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-011,"À partir de €6,899","Paris, Sud de la France, Dubaï",Sécurisation de la chaîne logistique et facilitation du commerce international,"Maîtriser les outils et bonnes pratiques (technologiques, procéduraux, partenariaux) pour sécuriser la chaîne logistique internationale contre les menaces (terrorisme, contrebande...) et faciliter les échanges commerciaux légitimes.",2 semaines (env. 70-80h),"Expérience en logistique internationale, sûreté/sécurité, douane ou gestion des risques.","Responsables sûreté/sécurité supply chain, responsables logistique/transport international, responsables douane/conformité, consultants en sûreté logistique/facilitation des échanges, cadres des administrations (douanes, transports).",Dans nos locaux / En ligne / Intra-entreprise,"Analyse des menaces et vulnérabilités de la chaîne logistique, normes de sûreté (ISO 28000, C-TPAT, OEA), technologies de sécurisation (scellés, tracking, scanners...), gestion des risques, facilitation (guichet unique, dématérialisation...).","Supports de cours, Normes ISO 28000, Cadre SAFE/OEA, guides sur la sûreté logistique, présentation des technologies de sûreté/traçabilité, Accord de l'OMC sur la Facilitation des Echanges (AFE), exemples de guichets uniques.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une analyse de risques sûreté pour une chaîne logistique type. Proposition d'un plan d'actions combinant sécurisation et facilitation pour une entreprise ou une administration.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-012,"À partir de €6,899","Paris, Sud de la France, Dubaï",Stratégies d’optimisation du contentieux douanier,"Développer des stratégies et utiliser les outils juridiques et procéduraux pour gérer au mieux le contentieux douanier, de la phase pré-contentieuse à l'exécution des décisions, en minimisant les coûts et les délais.",2 semaines (env. 70-80h),"Formation juridique et expérience confirmée en contentieux douanier (avocat, juriste d'entreprise, agent du contentieux douanier).","Avocats spécialisés droit douanier, juristes d'entreprise confirmés (douane/contentieux), responsables contentieux douanier en entreprise, cadres expérimentés du contentieux des douanes, consultants experts.",Dans nos locaux / En ligne / Intra-entreprise,"Stratégies pré-contentieuses (dialogue, demande de rescrit...), optimisation de la procédure contentieuse (choix des arguments, preuves...), recours aux transactions, négociation avec l'administration, gestion des voies de recours, aspects financiers.","Supports de cours (niveau expert), jurisprudence douanière approfondie, techniques de négociation/médiation appliquées au contentieux douanier, analyse stratégique des dossiers contentieux, outils d'analyse prédictive (si pertinent).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une stratégie contentieuse complète pour un cas complexe. Simulation de négociation d'une transaction avec l'administration douanière. Analyse critique de décisions de justice en matière douanière.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-013,"À partir de €6,899","Paris, Sud de la France, Dubaï",Audit des factures de transit et des prestations du commissionnaire en douane agréé,"Savoir analyser et auditer en détail les factures émises par les transitaires/commissionnaires agréés en douane pour vérifier l'exactitude des prestations facturées, des débours (droits et taxes) et la conformité tarifaire.",2 semaines (env. 70-80h),Connaissance des opérations de transit/douane et/ou expérience en contrôle de gestion/audit des achats de prestations de services. Maîtrise d'Excel.,"Contrôleurs de gestion, auditeurs internes, responsables achats/logistique/douane en entreprise (import/export), comptables fournisseurs.",Dans nos locaux / En ligne / Intra-entreprise,"Décomposition de la facture transitaire (prestations propres, débours), vérification des tarifs de prestations, contrôle des débours (droits, taxes, frais annexes), rapprochement avec les documents douaniers/transport, identification des erreurs/surfacturations.","Supports de cours, exemples de factures transitaires détaillées, grilles tarifaires transitaires (exemples), documents douaniers (déclaration, liquidation), techniques d'audit de facturation, outils Excel pour l'analyse.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'un audit complet d'une facture transitaire sur la base d'un dossier import/export fourni. Identification et quantification des écarts. Rédaction d'une note d'audit.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DT-014,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion efficace des opérations import-export : compétences et outils essentiels,"Acquérir une maîtrise pratique des compétences clés nécessaires à la gestion complète des opérations d'import-export : réglementation, documents, logistique, douane, paiements, risques.",2 semaines (env. 70-80h),Intérêt pour le commerce international. Une première expérience ou formation en commerce/logistique/douane est un plus.,"Assistants/gestionnaires import-export, responsables logistique/transport international, acheteurs/vendeurs internationaux, transitaires, déclarants en douane, conseillers en commerce international, créateurs d'entreprise à l'international.",Dans nos locaux / En ligne / Intra-entreprise,"Incoterms®, documents commerciaux/transport/douaniers, procédures douanières (dédouanement import/export, régimes), moyens de paiement internationaux (crédit documentaire, remise doc...), gestion des transports, assurance, gestion des risques.","Supports de cours, Incoterms® (dernière version), modèles de documents, check-lists opérations import/export, guides pratiques douane/transport/paiement, études de cas complètes (de la commande à la livraison/paiement).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Gestion complète d'une opération import ou export sur un cas pratique (choix Incoterm, préparation documents, suivi logistique/douane/paiement). Identification et gestion des risques d'une opération internationale.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."