CategoryID,Category Name,Course Quantity,Category Description,Public Cible,Nos Formateurs,Methodologie
CP,Commande publique,12,Maîtrisez les procédures de passation des marchés publics et optimisez vos stratégies d'achat. Nos formations vous arment pour naviguer avec succès dans le cadre réglementaire et piloter efficacement la performance de vos acquisitions.,"Ce programme s'adresse aux acheteurs publics, aux gestionnaires de marchés, ainsi qu'aux responsables d'entreprises souhaitant répondre aux appels d'offres. Il est idéal pour les professionnels cherchant à sécuriser leurs procédures et à maximiser leurs chances de succès.","Nos formations sont animées par des experts de la commande publique, rigoureusement sélectionnés pour leur parcours d'exception. Ils possèdent de nombreuses années d'expérience acquise au sein d'administrations publiques ou de grands groupes, en tant que responsables des achats et des marchés.","Notre approche pédagogique repose sur des méthodes interactives, incluant des études de cas réels et des simulations pour assurer un engagement maximal. Nous commençons par une analyse approfondie de vos besoins spécifiques afin d'adapter précisément nos interventions. Ainsi, chaque participant bénéficie d'une formation sur mesure qui ancre durablement les compétences."
FP,Finances publiques,13,Acquérez une expertise complète sur la gestion budgétaire et le contrôle des fonds publics. Ces cours sont essentiels pour comprendre les mécanismes financiers de l'État et des collectivités et en assurer une gestion rigoureuse et transparente.,"Ces formations ciblent les fonctionnaires des ministères financiers et des collectivités, les contrôleurs budgétaires, et les auditeurs du secteur public. Elles sont également pertinentes pour les consultants et experts désirant accompagner les administrations dans leur gestion.","Nous confions nos formations à des hauts fonctionnaires, des inspecteurs des finances et des consultants seniors spécialisés en gestion publique. Leur expérience de plusieurs décennies au cœur des mécanismes budgétaires de l'État leur confère une légitimité inégalée. Cette expertise est la garantie d'une formation pointue, qui décortique les réformes et les meilleures pratiques du secteur.","Nous privilégions une pédagogie active centrée sur l'apprenant, en utilisant des méthodes interactives pour stimuler la participation. Nos sessions s'articulent autour d'études de cas concrets (gestion de budget, contrôle des dépenses) et d'ateliers pratiques pour une meilleure assimilation. Chaque programme est précédé d'une analyse de vos besoins pour que le contenu soit parfaitement aligné sur vos objectifs."
DGP,Diplomatie - Gouvernement - Parlement,13,"Développez les compétences clés pour évoluer au cœur des institutions étatiques, des relations internationales et des processus législatifs. Ce parcours est idéal pour ceux qui aspirent à une carrière dans les affaires publiques et la représentation internationale.","Ce cursus est conçu pour les diplomates, les attachés parlementaires, les hauts fonctionnaires et les cadres d'organisations internationales. Il vise celles et ceux qui souhaitent débuter ou faire évoluer leur carrière au sein des appareils d'État.","Nos intervenants sont des ambassadeurs, des conseillers ministériels et des administrateurs parlementaires ayant une longue carrière internationale ou au sein des plus hautes institutions. Leurs nombreuses années d'expérience dans les arcanes du pouvoir et des négociations offrent une perspective unique et précieuse. Ils transmettent non seulement un savoir, mais aussi un savoir-être indispensable dans ce domaine.","Pour garantir un engagement total, notre approche combine des exposés stratégiques, des simulations de négociations diplomatiques et des jeux de rôle. Nous utilisons des méthodes interactives et procédons à une analyse fine de vos attentes pour ajuster nos contenus. L'accent est mis sur des cas pratiques pour vous préparer efficacement aux réalités complexes de la gouvernance."
AHS,Action humanitaire et sociale,13,Formez-vous aux métiers de la solidarité et de l'aide au développement pour intervenir efficacement sur le terrain. Vous apprendrez à gérer des projets à fort impact social et à répondre aux crises humanitaires avec professionnalisme et éthique.,"Nous nous adressons aux coordinateurs de projets d'ONG, aux travailleurs sociaux, et à toute personne désirant s'engager professionnellement dans l'aide humanitaire. C'est le parcours parfait pour ceux qui veulent acquérir des compétences pratiques pour des interventions sur le terrain.","Nous sélectionnons des chefs de mission et des coordinateurs de projets d'ONG internationales renommées, forts de nombreuses années d'expérience sur le terrain. Leur vécu dans des contextes de crise et de développement apporte une dimension authentique et irremplaçable à nos formations. Ils sont les mieux placés pour enseigner les compétences techniques et humaines requises dans ce secteur.","Notre pédagogie est immersive et s'appuie sur des méthodes interactives pour vous plonger au cœur des défis humanitaires. Grâce à des études de cas réels et des simulations de gestion de crise, nous assurons un engagement maximal et une préparation optimale. Nous adaptons nos scénarios après une analyse approfondie de vos besoins pour une pertinence accrue."
DPE,Développement personnel et coaching,14,"Libérez votre potentiel et celui de vos collaborateurs grâce à des techniques de coaching et de développement personnel éprouvées. Améliorez votre communication, votre leadership et votre efficacité pour atteindre vos objectifs professionnels et personnels.","Ce cursus s'adresse à tous les professionnels, managers et collaborateurs, désireux d'améliorer leurs compétences comportementales (soft skills). Il est également parfait pour ceux qui envisagent une carrière de coach professionnel.","Nos intervenants sont des coachs professionnels certifiés et des psychologues du travail, sélectionnés pour leur approche humaine et leur éthique. Ils possèdent de nombreuses années d'expérience dans l'accompagnement de cadres et d'équipes vers l'atteinte de leur plein potentiel. Leur expertise en dynamique comportementale est idéale pour catalyser le changement.","Notre approche est expérientielle et profondément interactive, utilisant des outils de connaissance de soi, des ateliers pratiques et des sessions de coaching en direct. L'engagement est maximal car la formation est un véritable parcours de transformation personnelle et collective. Une analyse approfondie de vos objectifs nous permet de construire un programme sur mesure et impactant."
DT,Douane - Transit,14,Maîtrisez l'ensemble des procédures douanières et des opérations de transit pour fluidifier les échanges internationaux. Une formation essentielle pour garantir la conformité et l'efficacité de vos activités d'import-export.,"Ces formations ciblent les déclarants en douane, les agents de transit, ainsi que les responsables import-export au sein des entreprises. Elles sont indispensables pour les professionnels qui gèrent les opérations de commerce international au quotidien.","Nos intervenants sont des déclarants en douane agréés, des responsables transit et des consultants en commerce international. Ils ont de nombreuses années d'expérience pratique dans la gestion des opérations d'import-export complexes. Leur expertise technique est la meilleure assurance d'une formation précise et conforme aux dernières réglementations.","Nous utilisons des méthodes interactives, en mettant les participants face à des études de cas réels de dédouanement et des simulations de gestion de litiges. L'engagement est maximal car nous travaillons sur des documents douaniers authentiques. Nous procédons à une analyse de vos flux et de vos besoins pour adapter nos interventions à vos marchés."
GEDD,"Genre, environnement & développement durable",17,"Intégrez les dimensions de genre, d'environnement et de durabilité dans vos projets et stratégies. Formez-vous pour devenir un acteur du changement et promouvoir un développement inclusif et respectueux de la planète.","Ce cursus vise les chargés de mission RSE, les chefs de projet dans les ONG et les institutions publiques, et les consultants en développement. Il est conçu pour les professionnels qui veulent intégrer les enjeux sociaux et environnementaux au cœur de leurs actions.","Nos experts sont des responsables RSE, des consultants en développement durable et des spécialistes des questions de genre auprès d'organismes internationaux. Leurs nombreuses années d'expérience dans l'intégration de ces dimensions dans les projets et les politiques leur donnent une perspective complète. Leur engagement est idéal pour former les acteurs d'un développement plus juste et durable.","Nous utilisons des méthodes participatives et interactives, comme des débats, des analyses de projets sous un angle durable et des ateliers de création d'indicateurs de genre. L'engagement est maximal car les sujets abordés sont au cœur des enjeux sociétaux actuels. Une analyse approfondie de vos besoins nous permet d'adapter nos interventions à votre contexte spécifique pour un impact réel."
BAM,"Banque, assurance et microfinance",52,"Plongez au cœur du secteur financier et maîtrisez les produits et services bancaires, les mécanismes de l'assurance et les enjeux de la microfinance. Développez une expertise pointue pour répondre aux besoins d'une clientèle diversifiée.","Ce programme vise les gestionnaires de comptes, les analystes de crédit, les courtiers en assurance et les responsables d'institutions de microfinance. Il est parfait pour les professionnels du secteur financier souhaitant approfondir leur expertise technique et commerciale.","Nos intervenants sont des cadres dirigeants de banques, de compagnies d'assurance et d'institutions de microfinance. Leurs nombreuses années d'expérience dans le pilotage d'activités financières leur permettent de partager une vision stratégique et opérationnelle. Leur expertise est parfaite pour former aux meilleures pratiques d'un secteur en pleine mutation.","Notre pédagogie active repose sur des méthodes interactives, avec des simulations de gestion de portefeuille et des études de cas de montage de produits financiers. Pour assurer un engagement maximal, nous mettons les participants en situation quasi réelle. Nos programmes sont toujours adaptés suite à une analyse approfondie de vos besoins spécifiques."
FCAC,"Finance, comptabilité, audit et contrôle",24,"Construisez une base solide en gestion financière, depuis les opérations comptables jusqu'aux missions d'audit et de contrôle de gestion. Ces cours sont indispensables pour garantir la fiabilité de l'information financière et piloter la performance de l'entreprise.","Ces cours sont conçus pour les comptables, les contrôleurs de gestion, les auditeurs internes et externes, ainsi que les directeurs financiers. Ils sont indispensables pour tout professionnel garant de la fiabilité des comptes et du pilotage financier de l'entreprise.","Nous faisons appel à des directeurs financiers, des auditeurs associés de grands cabinets (Big Four) et des contrôleurs de gestion expérimentés. Ils possèdent de nombreuses années d'expérience dans l'analyse financière et la vérification des comptes de multinationales. Leur rigueur et leur expertise pointue sont idéales pour former aux exigences de la finance d'entreprise.","Nous garantissons un engagement maximal grâce à des méthodes interactives et des ateliers pratiques sur des logiciels de gestion. Les participants travaillent sur des études de cas réels d'audit, de reporting et de construction budgétaire. Nous procédons en amont à une analyse de vos besoins pour que nos interventions soient parfaitement ciblées."
FDF,Finance digitale | Fintech,10,"Explorez l'univers de la finance technologique et comprenez les innovations qui transforment le secteur bancaire et financier. De la blockchain au paiement mobile, préparez-vous à devenir un acteur clé de la finance de demain.","Ce cursus cible les professionnels de la banque, les chefs de projet innovation, les entrepreneurs et les consultants du secteur financier. Il est destiné à ceux qui veulent comprendre et exploiter les technologies financières pour créer les services de demain.","Nos experts sont des pionniers de la Fintech, des responsables de la transformation digitale dans de grands groupes bancaires et des entrepreneurs à succès. Leurs nombreuses années d'expérience dans l'innovation financière leur donnent une vision avant-gardiste du secteur. Ils sont parfaitement placés pour décrypter les tendances et former aux technologies qui façonnent la finance de demain.","Notre approche est immersive, utilisant des méthodes interactives comme des démonstrations live d'outils Fintech et des ateliers de design thinking. Pour un engagement maximal, nous analysons des business models innovants à travers des études de cas concrets. Chaque intervention est adaptée après une analyse précise de vos besoins pour une acculturation réussie."
BTP,BTP – Infrastructures routières,16,"Acquérez les compétences techniques et managériales pour mener à bien des projets de construction et d'infrastructures. De la conception à la réalisation, formez-vous aux normes et aux meilleures pratiques du secteur du BTP.","Ce cursus s'adresse aux ingénieurs en génie civil, aux conducteurs de travaux, aux chefs de chantier et aux gestionnaires de projets BTP. Il est conçu pour les techniciens et managers qui supervisent des projets de construction de A à Z.","Nos experts sont des ingénieurs civils, des conducteurs de travaux et des directeurs de projets ayant mené des chantiers d'envergure. Leurs nombreuses années d'expérience sur le terrain leur confèrent une crédibilité et une connaissance pratique inégalées. Leur expertise est parfaite pour former aux aspects techniques, sécuritaires et managériaux du BTP.","Notre approche pédagogique alterne théorie et pratique avec des méthodes interactives, des visites de chantier (si possible) et des analyses de plans. Pour un engagement maximal, nous utilisons des études de cas réels de gestion de projets de construction. Chaque formation est ajustée suite à une analyse de vos besoins spécifiques et du type d'ouvrages concernés."
MPE,Management et performance des organisations,13,"Transformez votre leadership et apprenez à piloter la performance globale de votre organisation. Ces formations vous dotent des meilleures stratégies pour mobiliser vos équipes, optimiser les processus et atteindre vos objectifs stratégiques.","Ce programme est destiné aux chefs d'équipe, aux directeurs de département, aux chefs d'entreprise et à tout manager souhaitant renforcer son leadership. Il est idéal pour les cadres qui veulent motiver leurs équipes et améliorer durablement les résultats.","Nos intervenants sont des coachs de dirigeants, des consultants en organisation et d'anciens directeurs généraux. Ils cumulent de nombreuses années d'expérience dans la conduite du changement et l'amélioration de la performance au sein d'entreprises leaders. Leur expertise en leadership est parfaite pour transformer les pratiques managériales.","Notre pédagogie est expérientielle, basée sur des méthodes interactives comme le co-développement, les mises en situation managériale et les jeux de rôle. Nous assurons un engagement maximal en travaillant directement sur les problématiques des participants. Après une analyse de vos besoins, nous construisons un parcours sur mesure pour un impact durable."
GP,Gestion de projets et programmes,26,"Acquérez les méthodologies et les outils indispensables pour planifier, exécuter et réussir tous vos projets, du plus simple au plus complexe. Devenez un chef de projet aguerri, capable de livrer des résultats concrets dans le respect des délais et des budgets.","Nous ciblons les chefs de projet, les coordinateurs, les membres d'équipes projet et les futurs managers de portefeuille de projets (PMO). Ces formations sont essentielles pour quiconque souhaite maîtriser les standards internationaux et livrer ses projets avec succès.","Nos formations sont animées par des chefs de projet certifiés (PMP®, Prince2®) et des directeurs de programmes (PMO) chevronnés. Ils possèdent de nombreuses années d'expérience dans le pilotage de projets complexes pour des multinationales. Leur maîtrise des référentiels internationaux garantit une formation alignée sur les meilleurs standards.","Nous utilisons des méthodes interactives et des outils collaboratifs de gestion de projet pour un engagement maximal. Nos sessions reposent sur une simulation complète de projet, de la charte à la clôture, en passant par la gestion des risques. Nous adaptons le niveau de complexité suite à une analyse approfondie de vos besoins spécifiques."
DG,"Décentralisation, gouvernance locale & gestion urbaine",10,Appropriez-vous les outils de la gouvernance locale pour piloter le développement des territoires et la gestion des villes. Ces formations s'adressent aux acteurs du développement local souhaitant renforcer la démocratie participative et l'efficacité des services publics.,"Ces formations sont destinées aux élus locaux, aux cadres des collectivités territoriales, aux urbanistes et aux acteurs de la société civile impliqués dans le développement local. Elles sont essentielles pour les décideurs qui pilotent la transformation et la gestion des territoires.","Nos experts sont des directeurs généraux de services, des urbanistes et des consultants en développement local ayant piloté des projets de grande envergure. Leurs nombreuses années d'expérience à la tête de collectivités territoriales garantissent une maîtrise parfaite des enjeux de la gouvernance locale. Leur vision stratégique est un atout majeur pour former les décideurs de demain.","Nous utilisons des méthodes interactives, des ateliers de co-développement et des visites de terrain pour un apprentissage concret et engageant. Les études de cas portent sur des projets de gestion urbaine et de gouvernance participative réels pour un transfert de compétences efficace. Une analyse en amont de vos besoins spécifiques nous permet d'adapter nos interventions pour un impact maximal."
MP,Mine & pétrole,97,"Spécialisez-vous dans un secteur stratégique en découvrant les aspects techniques, économiques et réglementaires de l'industrie minière et pétrolière. Ces cours vous préparent à relever les défis d'un domaine exigeant et en constante évolution.","Nous visons les ingénieurs, les techniciens, les géologues et les cadres administratifs des compagnies minières et pétrolières. Ce programme est essentiel pour ceux qui évoluent ou souhaitent intégrer ce secteur hautement spécialisé.","Nos formateurs sont des ingénieurs, des géologues et des cadres de l'industrie pétrolière et minière. Leurs nombreuses années d'expérience sur des sites d'exploitation à travers le monde leur donnent une perspective globale et concrète. Ils sont les mieux placés pour enseigner les standards techniques et HSE d'un secteur aussi exigeant.","Nous privilégions des méthodes interactives incluant l'analyse de données sismiques, des études de cas sur la gestion environnementale des sites et des simulations d'opérations. L'engagement est renforcé par la complexité et le réalisme des scénarios proposés. Une analyse en amont de vos besoins nous permet de focaliser nos interventions sur vos problématiques métiers."
DF,Droit – Fiscalité,16,Sécurisez le cadre légal et optimisez la performance fiscale de votre organisation. Nos formations couvrent les aspects essentiels du droit des affaires et de la fiscalité pour vous permettre de prendre des décisions éclairées et conformes.,"Ce parcours s'adresse aux juristes d'entreprise, aux fiscalistes, aux experts-comptables, ainsi qu'aux directeurs administratifs et financiers. Il est conçu pour les professionnels qui cherchent à maîtriser le cadre légal et à optimiser la stratégie fiscale de leur organisation.","Nos cours sont dispensés par des avocats fiscalistes, des juristes d'entreprise et des experts-comptables de cabinets de premier plan. Ils ont consacré de nombreuses années à conseiller et défendre les entreprises, ce qui leur confère une expertise pratique inégalable. Leur maîtrise des subtilités légales et fiscales est la meilleure garantie d'une formation fiable et à jour.","Notre approche est centrée sur la résolution de problèmes, avec des méthodes interactives qui favorisent les échanges et les débats. Nous travaillons sur des études de cas réels d'optimisation fiscale et de montages juridiques pour un engagement maximal des participants. Chaque formation est personnalisée suite à une analyse de vos besoins pour répondre à vos problématiques précises."
DP,Domaine portuaire,31,"Plongez au cœur des opérations de la chaîne logistique portuaire, un maillon essentiel du commerce mondial. Développez une expertise en gestion des terminaux, en sûreté et en facilitation des échanges pour une carrière dans ce secteur dynamique.","Ces formations sont destinées aux agents d'exploitation portuaire, aux responsables logistiques, aux consignataires de navires et aux officiers de port. Elles sont idéales pour les professionnels qui opèrent au cœur de la chaîne logistique maritime et portuaire.","Nos intervenants sont d'anciens commandants de port, des responsables d'exploitation de terminaux et des experts en logistique maritime. Ils cumulent de nombreuses années d'expérience au cœur des opérations portuaires, un maillon clé du commerce mondial. Leur expertise est idéale pour comprendre et maîtriser la complexité de cet écosystème.","Notre pédagogie immersive utilise des méthodes interactives, des simulations de gestion de flux de conteneurs et des études de cas sur l'optimisation des escales. Pour un engagement maximal, nous connectons la théorie aux opérations en temps réel du monde portuaire. Nos interventions sont adaptées suite à une analyse approfondie de vos besoins spécifiques."
LTAM,"Logistique, transport, achats & moyens généraux",23,"Optimisez la chaîne d'approvisionnement et pilotez efficacement les flux physiques et informationnels de votre organisation. Ces formations vous rendent expert en gestion des achats, des stocks, du transport et des services généraux pour plus de performance et de rentabilité.","Ce programme est conçu pour les responsables logistique, les gestionnaires de la chaîne d'approvisionnement (supply chain), les acheteurs et les responsables des services généraux. Il est parfait pour ceux qui cherchent à optimiser les flux, réduire les coûts et améliorer l'efficacité opérationnelle.","Nos formateurs sont des directeurs Supply Chain, des responsables achats et des logisticiens issus de l'industrie ou de la grande distribution. Leurs nombreuses années d'expérience dans l'optimisation des flux et la réduction des coûts garantissent une expertise opérationnelle de haut niveau. Ils sont parfaitement qualifiés pour enseigner les leviers de performance de la chaîne logistique.","Notre pédagogie est très pragmatique, s'appuyant sur des méthodes interactives et des ""serious games"" logistiques pour un engagement total. Les participants travaillent sur des études de cas réels d'optimisation d'entrepôts ou de négociation avec les fournisseurs. Nous adaptons nos contenus après une analyse approfondie de votre chaîne de valeur et de vos besoins."
QM,"Management des qualités, marketing, communication & digitale",52,"Pilotez la satisfaction client et la croissance de votre entreprise grâce à une stratégie intégrée. Maîtrisez les outils du marketing moderne, de la communication 360° et du management de la qualité pour construire une marque forte et reconnue.","Ces cours sont pensés pour les responsables marketing, les chargés de communication, les community managers et les qualiticiens. Ils visent les professionnels qui souhaitent développer une image de marque forte et une expérience client irréprochable.","Nos experts sont des directeurs marketing, des responsables qualité et des consultants en stratégie digitale reconnus dans leur domaine. Ils ont consacré de nombreuses années à construire des marques fortes et à déployer des stratégies de communication innovantes. Leur double compétence marketing et qualité est parfaite pour piloter la performance par l'expérience client.","Pour un engagement maximal, nous utilisons des méthodes interactives comme des ateliers de brainstorming créatif et des simulations de gestion de e-réputation. Nous nous basons sur des études de cas réels de campagnes à succès et d'audits qualité pour un apprentissage concret. Nos interventions sont toujours précédées d'une analyse de vos besoins pour un alignement parfait avec votre marché."
PS,Prévoyance sociale – CNSS - CNPS - CIPRES - IPRES,12,"Maîtrisez les régimes et les mécanismes de la prévoyance sociale en vigueur (CNSS, CNPS, etc.). Cette expertise est cruciale pour la gestion des carrières, des retraites et la conformité des obligations sociales de l'entreprise.","Ces formations s'adressent spécifiquement aux gestionnaires de paie, aux responsables des ressources humaines et aux directeurs administratifs. Elles sont cruciales pour les professionnels en charge de la conformité sociale et de la gestion des déclarations auprès des caisses.","Nos formateurs sont des experts des régimes sociaux, d'anciens cadres des caisses de sécurité sociale ou des consultants spécialisés en paie et déclarations. Leurs nombreuses années d'expérience dans la gestion des obligations sociales leur confèrent une maîtrise parfaite des textes et des procédures. Leur savoir-faire est essentiel pour sécuriser les pratiques RH des entreprises.","Nous utilisons des méthodes interactives axées sur la conformité, avec des études de cas pratiques de calcul de cotisations et de gestion des dossiers. Pour garantir un engagement total, nos sessions incluent des simulations de contrôle et des ateliers de questions-réponses. Une analyse approfondie de vos besoins nous permet de cibler les points les plus critiques pour votre organisation."
RH,Ressources humaines,42,"Placez le capital humain au cœur de la stratégie de l'entreprise. Nos formations couvrent tous les aspects de la fonction RH, du recrutement à la gestion des talents, en passant par la formation et les relations sociales.","Ce parcours s'adresse aux responsables RH, aux chargés de recrutement, aux gestionnaires de carrières et aux consultants en management. Il est conçu pour les professionnels qui placent l'humain au centre de la performance et de la stratégie d'entreprise.",Nos intervenants sont des Directeurs des Ressources Humaines (DRH) et des experts en développement des talents ayant une longue carrière en entreprise. Leurs nombreuses années d'expérience dans la gestion du capital humain leur permettent d'aborder tous les aspects de la fonction RH avec une vision stratégique. Leur expertise est idéale pour former les professionnels RH aux défis d'aujourd'hui et de demain.,"Notre approche est centrée sur le participant, avec des méthodes interactives comme des ateliers de création d'outils RH et des simulations d'entretiens. Nous favorisons un engagement fort grâce à des études de cas réels sur la gestion des conflits ou le recrutement. Chaque programme est finement adapté après une analyse de vos enjeux pour une efficacité maximale."
SGH,Santé et gestion hospitalière,24,Formez-vous au management spécifique des établissements de santé pour améliorer la qualité des soins et l'efficacité opérationnelle. Ces cours allient compétences en gestion et compréhension des enjeux du système de santé.,"Ce parcours s'adresse aux directeurs d'établissements de santé, aux cadres de santé, aux médecins-chefs et aux gestionnaires de cliniques ou d'hôpitaux. Il est conçu pour les professionnels qui veulent allier management performant et qualité des soins.","Nos experts sont des directeurs d'hôpital, des cadres de santé et des consultants spécialisés dans le management des établissements sanitaires. Leurs nombreuses années d'expérience dans un environnement complexe alliant soins et gestion leur confèrent une double compétence rare. Ils sont parfaitement qualifiés pour former aux défis de la gestion hospitalière moderne.",Nous utilisons des méthodes interactives comme des simulations de gestion de crise sanitaire et des études de cas sur l'amélioration du parcours patient. L'engagement des participants est maximal car les problématiques abordées sont au cœur de leur quotidien. Nous menons une analyse fine de vos besoins pour adapter le contenu aux spécificités de votre établissement.
HST,Hygiène et sécurité au travail,15,"Devenez un garant de la prévention des risques professionnels et du bien-être au travail. Apprenez à mettre en place et à animer une politique d'hygiène et de sécurité efficace, conforme aux réglementations en vigueur.","Ce programme cible les préventeurs, les responsables HSE/QSE, les membres du CHSCT et les managers soucieux de la sécurité de leurs équipes. Il est indispensable pour mettre en œuvre une culture de prévention efficace et réduire les accidents du travail.","Nos formations sont assurées par des responsables HSE, des préventeurs et des ingénieurs sécurité ayant une longue expérience en milieu industriel ou BTP. Leurs nombreuses années dédiées à la réduction des risques professionnels en font des experts de la prévention. Leur approche pragmatique est parfaite pour instaurer une véritable culture de la sécurité.","Notre pédagogie est très concrète, basée sur des méthodes interactives, des analyses d'accidents via l'arbre des causes et des simulations d'audits sécurité. Nous garantissons l'engagement en travaillant sur les risques réels de l'environnement des participants. Chaque programme est personnalisé après une analyse de vos besoins pour une pertinence maximale."
SAG,Secrétariat & assistanat,22,"Devenez le pilier de l'organisation et le bras droit des managers en maîtrisant les outils et compétences de l'assistanat moderne. Ce parcours renforce votre polyvalence, votre proactivité et votre maîtrise des tâches administratives complexes.","Ces formations sont conçues pour les assistant(e)s de direction, les secrétaires administratifs et les office managers. Elles visent à renforcer leur rôle stratégique au sein de l'entreprise et leur maîtrise des outils collaboratifs.",Nos formations sont animées par des assistant(e)s de direction chevronné(e)s et des office managers ayant évolué aux côtés de dirigeants de haut niveau. Leurs nombreuses années d'expérience dans la gestion de l'information et l'organisation d'événements complexes sont un gage de qualité. Elles sont les mieux placées pour transmettre les clés d'un assistanat proactif et efficace.,"Nous utilisons des méthodes interactives et des mises en situation professionnelles concrètes : gestion d'agendas complexes, organisation de déplacements, filtrage des communications. Pour un engagement total, nous travaillons avec les outils digitaux et collaboratifs les plus récents. Nous adaptons le contenu après une analyse des besoins spécifiques du poste et de l'entreprise."
IA,Intelligence artificielle,28,Comprenez les enjeux de l'intelligence artificielle et apprenez à intégrer ces technologies pour innover et optimiser les processus de votre entreprise. Cette formation vous ouvre les portes des métiers d'avenir et de la transformation numérique.,"Nous ciblons les développeurs, les chefs de projet, les data analysts et les managers souhaitant comprendre le potentiel de l'IA. Ce parcours est destiné aux professionnels curieux d'intégrer des solutions intelligentes dans leurs activités.","Nos experts sont des data scientists, des ingénieurs en IA et des consultants en transformation numérique. Ils possèdent de nombreuses années d'expérience dans le développement et le déploiement de solutions d'intelligence artificielle pour des entreprises innovantes. Leur expertise technique de pointe est parfaite pour démystifier l'IA et la rendre accessible.","Notre pédagogie est basée sur l'expérimentation, avec des méthodes interactives, des démonstrations live et des ateliers de prise en main d'outils d'IA. Nous assurons un engagement maximal en travaillant sur des cas d'usage concrets et en aidant les participants à lancer leurs propres projets. Une analyse de vos besoins nous permet de cibler les applications de l'IA les plus pertinentes pour votre secteur."
BWM,Bureautique – Web et multimédia,14,"Maîtrisez les outils bureautiques et créatifs indispensables à toute activité professionnelle. De la suite Office à la création de contenu web, augmentez votre productivité et votre impact visuel au quotidien.","Ces cours sont destinés à tout employé, assistant ou manager souhaitant gagner en efficacité avec les logiciels de bureau et les outils web. Ils sont parfaits pour améliorer sa productivité quotidienne et la qualité de ses présentations.","Nous sélectionnons des experts certifiés sur les suites logicielles (Microsoft, Adobe) et des designers web passionnés. Ils ont de nombreuses années d'expérience dans la formation d'utilisateurs de tous niveaux et la création de contenus engageants. Leur pédagogie est parfaite pour faire monter en compétence rapidement et durablement.","Notre pédagogie est axée sur la pratique intensive, avec des exercices progressifs et des méthodes interactives pour un engagement constant. Les participants créent des documents concrets (tableaux de bord, présentations, mini-sites web) pour une application immédiate. Nous réalisons une analyse des besoins pour adapter les modules et se concentrer sur les fonctions les plus utiles."
IPT,"Informatique, poste & télécom",49,"Développez des compétences solides dans les domaines des réseaux, des systèmes d'information et des télécommunications. Un cursus essentiel pour les techniciens et ingénieurs qui construisent et maintiennent les infrastructures numériques d'aujourd'hui.","Ce programme s'adresse aux techniciens de maintenance, aux administrateurs systèmes et réseaux, et aux ingénieurs en télécommunications. Il est essentiel pour les experts techniques qui assurent le bon fonctionnement des infrastructures IT.","Nos intervenants sont des administrateurs systèmes et réseaux, des ingénieurs en cybersécurité et des experts en télécommunications. Leurs nombreuses années d'expérience dans la gestion d'infrastructures critiques leur confèrent une maîtrise technique irréprochable. Ils sont parfaitement qualifiés pour former aux technologies qui soutiennent le monde numérique.","Notre approche est ""hands-on"", avec des laboratoires pratiques, des travaux sur des équipements réels et des simulations de pannes réseau. Nous utilisons des méthodes interactives pour garantir un engagement maximal et une compréhension approfondie des concepts. Nous adaptons les ateliers techniques après une analyse précise de votre parc informatique et de vos besoins."